team,champion_probability
Spain,0.2909
Argentina,0.1182
England,0.0938
France,0.079
Portugal,0.0648
Brazil,0.0521
Colombia,0.0507
Netherlands,0.0316
Uruguay,0.0303
Switzerland,0.0267
Croatia,0.025
Belgium,0.0212
Ecuador,0.0193
Germany,0.0131
Norway,0.0116
Morocco,0.0089
Senegal,0.0077
Mexico,0.007
Canada,0.0053
Turkey,0.0051
Iran,0.0049
Australia,0.0044
Japan,0.0041
South Korea,0.0037
Paraguay,0.0035
USA,0.0027
Austria,0.0024
Sweden,0.002
Scotland,0.0019
Algeria,0.0017
Egypt,0.0011
Panama,0.001
Czech Republic,0.0008
Tunisia,0.0007
Qatar,0.0005
Jordan,0.0005
Uzbekistan,0.0005
South Africa,0.0004
Bosnia and Herzegovina,0.0002
Côte d'Ivoire,0.0002
Saudi Arabia,0.0002
Iraq,0.0001
DR Congo,0.0001
Ghana,0.0001
Curaçao,0.0
Cabo Verde,0.0
New Zealand,0.0
Haiti,0.0
