group,team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,top2_probability
A,Mexico,0.4269,0.2841,0.1803,0.1087,0.7110000000000001
A,South Korea,0.2618,0.2809,0.2589,0.1984,0.5427
A,Czech Republic,0.1997,0.2512,0.2824,0.2667,0.45089999999999997
A,South Africa,0.1116,0.1838,0.2784,0.4262,0.2954
B,Switzerland,0.4869,0.2905,0.1513,0.0713,0.7774
B,Canada,0.3407,0.3449,0.2125,0.1019,0.6856
B,Qatar,0.0969,0.1959,0.3168,0.3904,0.2928
B,Bosnia and Herzegovina,0.0755,0.1687,0.3194,0.4364,0.24419999999999997
C,Brazil,0.5259,0.2915,0.1365,0.0461,0.8174
C,Morocco,0.2944,0.3375,0.2439,0.1242,0.6319
C,Scotland,0.1358,0.2593,0.3645,0.2404,0.3951
C,Haiti,0.0439,0.1117,0.2551,0.5893,0.1556
D,Australia,0.2788,0.2549,0.2476,0.2187,0.5337000000000001
D,Turkey,0.2738,0.2559,0.2371,0.2332,0.5297000000000001
D,Paraguay,0.2373,0.2464,0.2608,0.2555,0.4837
D,USA,0.2101,0.2428,0.2545,0.2926,0.45289999999999997
E,Ecuador,0.4379,0.3019,0.1801,0.0801,0.7398
E,Germany,0.3689,0.3242,0.2129,0.094,0.6931
E,Côte d'Ivoire,0.1366,0.2327,0.3328,0.2979,0.36929999999999996
E,Curaçao,0.0566,0.1412,0.2742,0.528,0.19779999999999998
F,Netherlands,0.4719,0.273,0.1583,0.0968,0.7449
F,Japan,0.2631,0.2915,0.2474,0.198,0.5546
F,Tunisia,0.1397,0.2193,0.288,0.353,0.359
F,Sweden,0.1253,0.2162,0.3063,0.3522,0.3415
G,Belgium,0.4229,0.2908,0.1892,0.0971,0.7137
G,Iran,0.2958,0.2997,0.2374,0.1671,0.5955
G,Egypt,0.1756,0.2465,0.3008,0.2771,0.42210000000000003
G,New Zealand,0.1057,0.163,0.2726,0.4587,0.2687
H,Spain,0.6506,0.2378,0.0865,0.0251,0.8884
H,Uruguay,0.2435,0.4247,0.2361,0.0957,0.6682
H,Saudi Arabia,0.0677,0.2073,0.3854,0.3396,0.275
H,Cabo Verde,0.0382,0.1302,0.292,0.5396,0.1684
I,France,0.5541,0.2529,0.1397,0.0533,0.807
I,Norway,0.2091,0.312,0.3067,0.1722,0.5211
I,Senegal,0.1907,0.3098,0.3119,0.1876,0.5005000000000001
I,Iraq,0.0461,0.1253,0.2417,0.5869,0.1714
J,Argentina,0.6087,0.2346,0.1122,0.0445,0.8433
J,Austria,0.1597,0.2902,0.3025,0.2476,0.4499
J,Algeria,0.1449,0.2841,0.2935,0.2775,0.42900000000000005
J,Jordan,0.0867,0.1911,0.2918,0.4304,0.2778
K,Portugal,0.4602,0.3038,0.1665,0.0695,0.764
K,Colombia,0.3788,0.3446,0.1904,0.0862,0.7234
K,Uzbekistan,0.1026,0.2118,0.3574,0.3282,0.3144
K,DR Congo,0.0584,0.1398,0.2857,0.5161,0.19820000000000002
L,England,0.5137,0.2917,0.1409,0.0537,0.8054000000000001
L,Croatia,0.3323,0.355,0.2143,0.0984,0.6873
L,Panama,0.0989,0.2097,0.3598,0.3316,0.3086
L,Ghana,0.0551,0.1436,0.285,0.5163,0.19870000000000002
