match_id,stage,group,match_date,stadium,city,host_country,team_a,team_b,p_team_a_win,p_draw,p_team_b_win,most_likely_result
1,Group stage,A,2026-06-11,Estadio Azteca,Mexico City,Mexico,Mexico,South Africa,0.5149836360630845,0.35751232778054215,0.12750403615637343,team_a_win
2,Group stage,A,2026-06-12,Estadio Akron,Guadalajara,Mexico,South Korea,Czech Republic,0.3477150712870283,0.3804035666367577,0.2718813620762141,draw
3,Group stage,B,2026-06-12,BMO Field,Toronto,Canada,Canada,Bosnia and Herzegovina,0.5391920600470531,0.3189914913560509,0.14181644859689596,team_a_win
4,Group stage,D,2026-06-13,SoFi Stadium,Los Angeles,USA,USA,Paraguay,0.29080125771820137,0.35688101669344807,0.35231772558835045,draw
5,Group stage,D,2026-06-13,BC Place,Vancouver,Canada,Australia,Turkey,0.3208299151798128,0.31991099406147394,0.3592590907587133,team_b_win
6,Group stage,B,2026-06-13,Levi's Stadium,Santa Clara,USA,Qatar,Switzerland,0.1971211809892455,0.21117720153532116,0.5917016174754334,team_b_win
7,Group stage,C,2026-06-13,MetLife Stadium,East Rutherford,USA,Brazil,Morocco,0.3837709745878765,0.3625516841968885,0.25367734121523494,team_a_win
8,Group stage,C,2026-06-14,Gillette Stadium,Boston,USA,Haiti,Scotland,0.16598778383299148,0.3095640083370187,0.5244482078299898,team_b_win
9,Group stage,E,2026-06-14,NRG Stadium,Houston,USA,Germany,Curaçao,0.5799044865550221,0.3163787636749489,0.10371674977002893,team_a_win
10,Group stage,F,2026-06-14,AT&T Stadium,Dallas,USA,Netherlands,Japan,0.3986304008764423,0.3794259764769376,0.22194362264662013,team_a_win
11,Group stage,E,2026-06-14,Lincoln Financial Field,Philadelphia,USA,Côte d'Ivoire,Ecuador,0.1588404430736275,0.28260308522541744,0.5585564717009551,team_b_win
12,Group stage,F,2026-06-15,Estadio BBVA,Monterrey,Mexico,Sweden,Tunisia,0.30828927375295434,0.39589681157560314,0.29581391467144247,draw
13,Group stage,H,2026-06-15,Mercedes-Benz Stadium,Atlanta,USA,Spain,Cabo Verde,0.6687788749756401,0.26238090089125404,0.06884022413310578,team_a_win
14,Group stage,G,2026-06-15,Lumen Field,Seattle,USA,Belgium,Egypt,0.4392316201800739,0.3879898415359525,0.17277853828397366,team_a_win
15,Group stage,H,2026-06-15,Hard Rock Stadium,Miami,USA,Saudi Arabia,Uruguay,0.14099860253210006,0.26483846334400485,0.5941629341238952,team_b_win
16,Group stage,G,2026-06-16,SoFi Stadium,Los Angeles,USA,Iran,New Zealand,0.4231719804987611,0.3527954152917527,0.22403260420948623,team_a_win
17,Group stage,J,2026-06-16,Levi's Stadium,Santa Clara,USA,Austria,Jordan,0.36710894337794936,0.38722129808367073,0.24566975853837994,draw
18,Group stage,I,2026-06-16,MetLife Stadium,East Rutherford,USA,France,Senegal,0.4612465234810336,0.3815697921771659,0.15718368434180055,team_a_win
19,Group stage,I,2026-06-16,Gillette Stadium,Boston,USA,Iraq,Norway,0.12911928762231306,0.2954899503647126,0.5753907620129745,team_b_win
20,Group stage,J,2026-06-17,GEHA Field at Arrowhead Stadium,Kansas City,USA,Argentina,Algeria,0.5214431531868898,0.35298259882488836,0.12557424798822195,team_a_win
21,Group stage,K,2026-06-17,NRG Stadium,Houston,USA,Portugal,DR Congo,0.5845943851843994,0.3003104492617142,0.11509516555388644,team_a_win
22,Group stage,L,2026-06-17,AT&T Stadium,Dallas,USA,England,Croatia,0.3588075216224615,0.3954393679865595,0.24575311039097908,draw
23,Group stage,L,2026-06-17,BMO Field,Toronto,Canada,Ghana,Panama,0.24943956128679903,0.2846204663382952,0.46593997237490586,team_b_win
24,Group stage,K,2026-06-18,Estadio Azteca,Mexico City,Mexico,Uzbekistan,Colombia,0.13934906041189868,0.2664905823895994,0.594160357198502,team_b_win
25,Group stage,A,2026-06-18,Mercedes-Benz Stadium,Atlanta,USA,Czech Republic,South Africa,0.3658467379089484,0.3933733418247021,0.2407799202663496,draw
26,Group stage,B,2026-06-18,SoFi Stadium,Los Angeles,USA,Switzerland,Bosnia and Herzegovina,0.5613809106900696,0.3204521597527275,0.11816692955720304,team_a_win
27,Group stage,B,2026-06-18,BC Place,Vancouver,Canada,Canada,Qatar,0.5376471588116264,0.34063618898372167,0.12171665220465198,team_a_win
28,Group stage,A,2026-06-19,Estadio Akron,Guadalajara,Mexico,Mexico,South Korea,0.37465033285436394,0.3917684942317965,0.23358117291383948,draw
29,Group stage,D,2026-06-19,Levi's Stadium,Santa Clara,USA,Turkey,Paraguay,0.30227010321966163,0.39043358752701623,0.3072963092533221,draw
30,Group stage,D,2026-06-19,Lumen Field,Seattle,USA,USA,Australia,0.2592591650655196,0.4009059361232533,0.3398348988112271,draw
31,Group stage,C,2026-06-19,Gillette Stadium,Boston,USA,Scotland,Morocco,0.24680385038070216,0.2768071022596856,0.4763890473596123,team_b_win
32,Group stage,C,2026-06-20,Lincoln Financial Field,Philadelphia,USA,Brazil,Haiti,0.6944153425141476,0.22595737865481952,0.07962727883103285,team_a_win
33,Group stage,F,2026-06-20,Estadio BBVA,Monterrey,Mexico,Tunisia,Japan,0.294632009145042,0.27402326469366006,0.43134472616129793,team_b_win
34,Group stage,F,2026-06-20,NRG Stadium,Houston,USA,Netherlands,Sweden,0.4641452290757101,0.3879373673904229,0.147917403533867,team_a_win
35,Group stage,E,2026-06-20,BMO Field,Toronto,Canada,Germany,Côte d'Ivoire,0.44781575174761934,0.37770277545347963,0.17448147279890105,team_a_win
36,Group stage,E,2026-06-21,GEHA Field at Arrowhead Stadium,Kansas City,USA,Ecuador,Curaçao,0.5658574853964017,0.31767851344712655,0.1164640011564718,team_a_win
37,Group stage,H,2026-06-21,Mercedes-Benz Stadium,Atlanta,USA,Spain,Saudi Arabia,0.5974063882693454,0.3205899965696228,0.08200361516103176,team_a_win
38,Group stage,G,2026-06-21,SoFi Stadium,Los Angeles,USA,Belgium,Iran,0.3325186665335523,0.40278336512686913,0.2646979683395786,draw
39,Group stage,H,2026-06-21,Hard Rock Stadium,Miami,USA,Uruguay,Cabo Verde,0.5591608728963263,0.3273639933038071,0.11347513379986664,team_a_win
40,Group stage,G,2026-06-22,BC Place,Vancouver,Canada,New Zealand,Egypt,0.23535419752617528,0.2907525509471064,0.4738932515267183,team_b_win
41,Group stage,J,2026-06-22,AT&T Stadium,Dallas,USA,Argentina,Austria,0.5350298683433967,0.3240864169167876,0.14088371473981565,team_a_win
42,Group stage,I,2026-06-22,Lincoln Financial Field,Philadelphia,USA,France,Iraq,0.6041143144787988,0.3014912001709038,0.09439448535029728,team_a_win
43,Group stage,I,2026-06-23,MetLife Stadium,East Rutherford,USA,Norway,Senegal,0.30839571768288604,0.3768742970506142,0.3147299852664998,draw
44,Group stage,J,2026-06-23,Levi's Stadium,Santa Clara,USA,Jordan,Algeria,0.24695844597015842,0.31314313501274377,0.43989841901709775,team_b_win
45,Group stage,K,2026-06-23,NRG Stadium,Houston,USA,Portugal,Uzbekistan,0.50778513573936,0.34971453713426626,0.14250032712637373,team_a_win
46,Group stage,L,2026-06-23,Gillette Stadium,Boston,USA,England,Ghana,0.5761456068000683,0.33394592069453277,0.08990847250539899,team_a_win
47,Group stage,L,2026-06-23,BMO Field,Toronto,Canada,Panama,Croatia,0.17174115705230145,0.317539329686953,0.5107195132607456,team_b_win
48,Group stage,K,2026-06-24,Estadio Akron,Guadalajara,Mexico,Colombia,DR Congo,0.5575083065965853,0.31573083831349236,0.12676085508992224,team_a_win
49,Group stage,B,2026-06-24,BC Place,Vancouver,Canada,Switzerland,Canada,0.407775232150938,0.36998360363599164,0.22224116421307036,team_a_win
50,Group stage,B,2026-06-24,Lumen Field,Seattle,USA,Bosnia and Herzegovina,Qatar,0.2728674463048269,0.3959804446410011,0.3311521090541721,draw
51,Group stage,C,2026-06-24,Hard Rock Stadium,Miami,USA,Scotland,Brazil,0.13575153585662986,0.274303591223067,0.5899448729203032,team_b_win
52,Group stage,C,2026-06-24,Mercedes-Benz Stadium,Atlanta,USA,Morocco,Haiti,0.5330242455247224,0.3108224649728314,0.15615328950244617,team_a_win
53,Group stage,A,2026-06-25,Estadio Azteca,Mexico City,Mexico,Czech Republic,Mexico,0.21178844333867936,0.3571082285525623,0.4311033281087584,team_b_win
54,Group stage,A,2026-06-25,Estadio BBVA,Monterrey,Mexico,South Africa,South Korea,0.2377721742270128,0.3315544730211443,0.43067335275184293,team_b_win
55,Group stage,E,2026-06-25,Lincoln Financial Field,Philadelphia,USA,Curaçao,Côte d'Ivoire,0.24953157144826038,0.2722171964176418,0.47825123213409776,team_b_win
56,Group stage,E,2026-06-25,MetLife Stadium,East Rutherford,USA,Ecuador,Germany,0.3403572764672282,0.3433151782595665,0.31632754527320533,draw
57,Group stage,F,2026-06-25,AT&T Stadium,Dallas,USA,Japan,Sweden,0.41408683187668927,0.38436861107908604,0.2015445570442247,team_a_win
58,Group stage,F,2026-06-25,GEHA Field at Arrowhead Stadium,Kansas City,USA,Tunisia,Netherlands,0.1813103509189413,0.2383800191932652,0.5803096298877934,team_b_win
59,Group stage,D,2026-06-26,SoFi Stadium,Los Angeles,USA,USA,Turkey,0.3021114213689185,0.3336110022234531,0.3642775764076284,team_b_win
60,Group stage,D,2026-06-26,Levi's Stadium,Santa Clara,USA,Paraguay,Australia,0.2537361321964283,0.38864990926935844,0.35761395853421324,draw
61,Group stage,I,2026-06-26,Gillette Stadium,Boston,USA,Norway,France,0.1967240201688907,0.22953126376917668,0.5737447160619327,team_b_win
62,Group stage,I,2026-06-26,BMO Field,Toronto,Canada,Senegal,Iraq,0.5078010273826148,0.3177068400379634,0.17449213257942173,team_a_win
63,Group stage,H,2026-06-27,NRG Stadium,Houston,USA,Cabo Verde,Saudi Arabia,0.20879650522336474,0.3580588101230252,0.43314468465360995,team_b_win
64,Group stage,H,2026-06-27,Estadio Akron,Guadalajara,Mexico,Uruguay,Spain,0.14245774965768668,0.256000385845732,0.6015418644965813,team_b_win
65,Group stage,G,2026-06-27,Lumen Field,Seattle,USA,Egypt,Iran,0.2073896042044677,0.3871610367457279,0.40544935904980445,team_b_win
66,Group stage,G,2026-06-27,BC Place,Vancouver,Canada,New Zealand,Belgium,0.16597660619688898,0.2125275888910786,0.6214958049120325,team_b_win
67,Group stage,L,2026-06-27,MetLife Stadium,East Rutherford,USA,Panama,England,0.1007238167643743,0.2221968103176349,0.6770793729179908,team_b_win
68,Group stage,L,2026-06-27,Lincoln Financial Field,Philadelphia,USA,Croatia,Ghana,0.5157948760760888,0.38349613556856166,0.10070898835534955,team_a_win
69,Group stage,K,2026-06-27,Hard Rock Stadium,Miami,USA,Colombia,Portugal,0.24254651086645923,0.38705773779985586,0.3703957513336849,draw
70,Group stage,K,2026-06-27,Mercedes-Benz Stadium,Atlanta,USA,DR Congo,Uzbekistan,0.2050635953869894,0.37494646511740604,0.4199899394956046,team_b_win
71,Group stage,J,2026-06-28,GEHA Field at Arrowhead Stadium,Kansas City,USA,Algeria,Austria,0.2815739160492996,0.3464223914037646,0.37200369254693577,team_b_win
72,Group stage,J,2026-06-28,AT&T Stadium,Dallas,USA,Jordan,Argentina,0.13144586907786804,0.1756707606874211,0.6928833702347108,team_b_win
