match_id,team_a_alpha,team_b_alpha,meeting_probability,Mexico_win_given_meeting,Switzerland_win_given_meeting,Scotland_win_given_meeting,Sweden_win_given_meeting,Ecuador_win_given_meeting,South Africa_win_given_meeting,Brazil_win_given_meeting,Japan_win_given_meeting,Côte d'Ivoire_win_given_meeting,France_win_given_meeting,Morocco_win_given_meeting,Norway_win_given_meeting,Curaçao_win_given_meeting,South Korea_win_given_meeting,Panama_win_given_meeting,Portugal_win_given_meeting,Belgium_win_given_meeting,Cabo Verde_win_given_meeting,Australia_win_given_meeting,Netherlands_win_given_meeting,England_win_given_meeting,Uzbekistan_win_given_meeting,Argentina_win_given_meeting,Uruguay_win_given_meeting,Canada_win_given_meeting,Iran_win_given_meeting,New Zealand_win_given_meeting,Paraguay_win_given_meeting,Austria_win_given_meeting,Spain_win_given_meeting,Colombia_win_given_meeting,Turkey_win_given_meeting,Tunisia_win_given_meeting,Haiti_win_given_meeting,Germany_win_given_meeting,Senegal_win_given_meeting,Croatia_win_given_meeting,Egypt_win_given_meeting,Saudi Arabia_win_given_meeting,Qatar_win_given_meeting,Algeria_win_given_meeting,Jordan_win_given_meeting,USA_win_given_meeting,Czech Republic_win_given_meeting,DR Congo_win_given_meeting,Iraq_win_given_meeting,Ghana_win_given_meeting,Bosnia and Herzegovina_win_given_meeting
73,Canada,Mexico,0.1004,0.5139442231075697,,,,,,,,,,,,,,,,,,,,,,,,0.4860557768924303,,,,,,,,,,,,,,,,,,,,,,,
73,Canada,South Korea,0.0984,,,,,,,,,,,,,,0.49796747967479676,,,,,,,,,,,0.5020325203252033,,,,,,,,,,,,,,,,,,,,,,,
73,Mexico,Switzerland,0.0844,0.26303317535545023,0.7369668246445498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Canada,Czech Republic,0.0835,,,,,,,,,,,,,,,,,,,,,,,,,0.5808383233532934,,,,,,,,,,,,,,,,,,,0.41916167664670656,,,,
73,South Korea,Switzerland,0.0791,,0.7117572692793932,,,,,,,,,,,,0.28824273072060685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Czech Republic,Switzerland,0.0758,,0.787598944591029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21240105540897097,,,,
73,Canada,South Africa,0.0626,,,,,,0.29233226837060705,,,,,,,,,,,,,,,,,,,0.707667731629393,,,,,,,,,,,,,,,,,,,,,,,
73,Qatar,South Korea,0.0549,,,,,,,,,,,,,,0.6903460837887068,,,,,,,,,,,,,,,,,,,,,,,,,,0.30965391621129323,,,,,,,,
73,Mexico,Qatar,0.0526,0.7756653992395437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22433460076045628,,,,,,,,
73,South Africa,Switzerland,0.0512,,0.82421875,,,,0.17578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Czech Republic,Qatar,0.0507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3234714003944773,,,,0.6765285996055227,,,,
73,Bosnia and Herzegovina,South Korea,0.0485,,,,,,,,,,,,,,0.6618556701030928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33814432989690724
73,Bosnia and Herzegovina,Mexico,0.0467,0.7387580299785867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26124197002141325
73,Bosnia and Herzegovina,Czech Republic,0.0412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6383495145631068,,,,0.3616504854368932
73,Qatar,South Africa,0.0377,,,,,,0.44562334217506633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5543766578249337,,,,,,,,
73,Bosnia and Herzegovina,South Africa,0.0323,,,,,,0.46439628482972134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5356037151702786
