simulation,match_id,team_a,team_b,ga,gb,outcome,winner,loser
1,1,Mexico,South Africa,1,1,D,,
1,2,South Korea,Czech Republic,4,1,H,South Korea,
1,3,Canada,Bosnia and Herzegovina,1,1,D,,
1,4,USA,Paraguay,3,1,H,USA,
1,5,Australia,Turkey,1,1,D,,
1,6,Qatar,Switzerland,1,1,D,,
1,7,Brazil,Morocco,1,2,A,Morocco,
1,8,Haiti,Scotland,0,2,A,Scotland,
1,9,Germany,Curaçao,0,0,D,,
1,10,Netherlands,Japan,1,1,D,,
1,11,Côte d'Ivoire,Ecuador,0,2,A,Ecuador,
1,12,Sweden,Tunisia,0,3,A,Tunisia,
1,13,Spain,Cabo Verde,0,1,A,Cabo Verde,
1,14,Belgium,Egypt,1,0,H,Belgium,
1,15,Saudi Arabia,Uruguay,3,4,A,Uruguay,
1,16,Iran,New Zealand,0,1,A,New Zealand,
1,17,Austria,Jordan,3,1,H,Austria,
1,18,France,Senegal,2,0,H,France,
1,19,Iraq,Norway,0,4,A,Norway,
1,20,Argentina,Algeria,0,0,D,,
1,21,Portugal,DR Congo,3,1,H,Portugal,
1,22,England,Croatia,2,2,D,,
1,23,Ghana,Panama,0,2,A,Panama,
1,24,Uzbekistan,Colombia,1,3,A,Colombia,
1,25,Czech Republic,South Africa,1,1,D,,
1,26,Switzerland,Bosnia and Herzegovina,2,0,H,Switzerland,
1,27,Canada,Qatar,5,1,H,Canada,
1,28,Mexico,South Korea,1,1,D,,
1,29,Turkey,Paraguay,1,3,A,Paraguay,
1,30,USA,Australia,0,5,A,Australia,
1,31,Scotland,Morocco,2,0,H,Scotland,
1,32,Brazil,Haiti,2,0,H,Brazil,
1,33,Tunisia,Japan,2,3,A,Japan,
1,34,Netherlands,Sweden,0,3,A,Sweden,
1,35,Germany,Côte d'Ivoire,2,2,D,,
1,36,Ecuador,Curaçao,1,2,A,Curaçao,
1,37,Spain,Saudi Arabia,2,0,H,Spain,
1,38,Belgium,Iran,0,0,D,,
1,39,Uruguay,Cabo Verde,0,0,D,,
1,40,New Zealand,Egypt,3,0,H,New Zealand,
1,41,Argentina,Austria,2,2,D,,
1,42,France,Iraq,1,1,D,,
1,43,Norway,Senegal,2,0,H,Norway,
1,44,Jordan,Algeria,1,1,D,,
1,45,Portugal,Uzbekistan,0,0,D,,
1,46,England,Ghana,2,0,H,England,
1,47,Panama,Croatia,2,0,H,Panama,
1,48,Colombia,DR Congo,0,1,A,DR Congo,
1,49,Switzerland,Canada,2,2,D,,
1,50,Bosnia and Herzegovina,Qatar,0,0,D,,
1,51,Scotland,Brazil,1,2,A,Brazil,
1,52,Morocco,Haiti,1,1,D,,
1,53,Czech Republic,Mexico,0,1,A,Mexico,
1,54,South Africa,South Korea,0,0,D,,
1,55,Curaçao,Côte d'Ivoire,0,2,A,Côte d'Ivoire,
1,56,Ecuador,Germany,0,0,D,,
1,57,Japan,Sweden,1,1,D,,
1,58,Tunisia,Netherlands,0,3,A,Netherlands,
1,59,USA,Turkey,0,1,A,Turkey,
1,60,Paraguay,Australia,1,1,D,,
1,61,Norway,France,2,2,D,,
1,62,Senegal,Iraq,1,0,H,Senegal,
1,63,Cabo Verde,Saudi Arabia,1,2,A,Saudi Arabia,
1,64,Uruguay,Spain,0,0,D,,
1,65,Egypt,Iran,0,2,A,Iran,
1,66,New Zealand,Belgium,0,1,A,Belgium,
1,67,Panama,England,2,2,D,,
1,68,Croatia,Ghana,2,2,D,,
1,69,Colombia,Portugal,3,0,H,Colombia,
