team,canonical_team,group_winner_probability,group_runner_up_probability,best_third_probability,round_of_32_probability,round_of_16_probability,quarter_final_probability,semi_final_probability,final_probability,third_place_match_probability,champion_probability,runner_up_probability,third_place_probability,fourth_place_probability,group_stage_exit_probability,top_4_probability
Spain,Spain,0.6506,0.2378,0.0704,0.9588,0.7763,0.6113,0.5012,0.4061,0.0951,0.2909,0.1152,0.0717,0.0234,0.041200000000000014,0.5012
Argentina,Argentina,0.6087,0.2346,0.0921,0.9354,0.5844,0.4302,0.3028,0.2083,0.0945,0.1182,0.0901,0.0664,0.0281,0.06459999999999999,0.3028
England,England,0.5137,0.2917,0.1118,0.9172,0.6541,0.438,0.2891,0.1675,0.1216,0.0938,0.0737,0.0815,0.0401,0.08279999999999998,0.2891
France,France,0.5541,0.2529,0.1083,0.9153,0.6851,0.4649,0.2982,0.1495,0.1487,0.079,0.0705,0.0966,0.0521,0.0847,0.2982
Portugal,Portugal,0.4602,0.3038,0.1242,0.8882,0.5692,0.3771,0.2065,0.1246,0.0819,0.0648,0.0598,0.0525,0.0294,0.11180000000000001,0.20650000000000002
Brazil,Brazil,0.5259,0.2915,0.1099,0.9273,0.6382,0.3801,0.2554,0.1105,0.1449,0.0521,0.0584,0.0851,0.0598,0.07269999999999999,0.2554
Colombia,Colombia,0.3788,0.3446,0.1434,0.8668,0.5201,0.3207,0.167,0.0999,0.0671,0.0507,0.0492,0.0407,0.0264,0.13319999999999999,0.167
Netherlands,Netherlands,0.4719,0.273,0.1237,0.8686,0.5437,0.3012,0.1679,0.0692,0.0987,0.0316,0.0376,0.0525,0.0462,0.13139999999999996,0.1679
Uruguay,Uruguay,0.2435,0.4247,0.1679,0.8361,0.4437,0.266,0.1469,0.0788,0.0681,0.0303,0.0485,0.033,0.0351,0.16390000000000005,0.14689999999999998
Switzerland,Switzerland,0.4869,0.2905,0.1165,0.8939,0.6203,0.305,0.1539,0.0671,0.0868,0.0267,0.0404,0.0444,0.0424,0.10609999999999997,0.1539
Croatia,Croatia,0.3323,0.355,0.1513,0.8386,0.4829,0.2581,0.1338,0.0639,0.0699,0.025,0.0389,0.0394,0.0305,0.1614,0.1338
Belgium,Belgium,0.4229,0.2908,0.1485,0.8622,0.5544,0.2785,0.1089,0.0584,0.0505,0.0212,0.0372,0.0244,0.0261,0.13780000000000003,0.1089
Ecuador,Ecuador,0.4379,0.3019,0.1354,0.8752,0.5077,0.3284,0.1701,0.0582,0.1119,0.0193,0.0389,0.0476,0.0643,0.12480000000000002,0.1701
Germany,Germany,0.3689,0.3242,0.155,0.8481,0.4799,0.2601,0.1225,0.0416,0.0809,0.0131,0.0285,0.0326,0.0483,0.15190000000000003,0.1225
Norway,Norway,0.2091,0.312,0.2108,0.7319,0.4205,0.2044,0.0936,0.0313,0.0623,0.0116,0.0197,0.0249,0.0374,0.2681,0.0936
Morocco,Morocco,0.2944,0.3375,0.1792,0.8111,0.43,0.1897,0.0861,0.0282,0.0579,0.0089,0.0193,0.0231,0.0348,0.18889999999999996,0.0861
Senegal,Senegal,0.1907,0.3098,0.216,0.7165,0.3949,0.1704,0.071,0.0235,0.0475,0.0077,0.0158,0.016,0.0315,0.2835,0.07100000000000001
Mexico,Mexico,0.4269,0.2841,0.138,0.849,0.4762,0.1988,0.073,0.0212,0.0518,0.007,0.0142,0.0203,0.0315,0.15100000000000002,0.073
Canada,Canada,0.3407,0.3449,0.1555,0.8411,0.4642,0.1855,0.0589,0.0186,0.0403,0.0053,0.0133,0.0133,0.027,0.15890000000000004,0.0589
Turkey,Turkey,0.2738,0.2559,0.1685,0.6982,0.3576,0.16,0.0497,0.018,0.0317,0.0051,0.0129,0.0111,0.0206,0.30179999999999996,0.049699999999999994
Iran,Iran,0.2958,0.2997,0.1681,0.7636,0.3945,0.1507,0.0484,0.0185,0.0299,0.0049,0.0136,0.0114,0.0185,0.23640000000000005,0.0484
Australia,Australia,0.2788,0.2549,0.1781,0.7118,0.3576,0.167,0.0483,0.017,0.0313,0.0044,0.0126,0.0111,0.0202,0.2882,0.0483
Japan,Japan,0.2631,0.2915,0.1733,0.7279,0.3303,0.1362,0.058,0.0159,0.0421,0.0041,0.0118,0.0175,0.0246,0.2721,0.057999999999999996
South Korea,South Korea,0.2618,0.2809,0.1824,0.7251,0.3525,0.1399,0.0449,0.0134,0.0315,0.0037,0.0097,0.0096,0.0219,0.27490000000000003,0.0449
Paraguay,Paraguay,0.2373,0.2464,0.1816,0.6653,0.3171,0.1433,0.0393,0.0143,0.025,0.0035,0.0108,0.0091,0.0159,0.3347,0.0393
USA,United States,0.2101,0.2428,0.1711,0.624,0.2875,0.1105,0.0274,0.0079,0.0195,0.0027,0.0052,0.006,0.0135,0.376,0.0274
Austria,Austria,0.1597,0.2902,0.193,0.6429,0.2165,0.0869,0.0314,0.0106,0.0208,0.0024,0.0082,0.0067,0.0141,0.3571,0.0314
Sweden,Sweden,0.1253,0.2162,0.1937,0.5352,0.1972,0.0731,0.0247,0.0076,0.0171,0.002,0.0056,0.0058,0.0113,0.4648,0.0247
Scotland,Scotland,0.1358,0.2593,0.2394,0.6345,0.2491,0.084,0.029,0.0073,0.0217,0.0019,0.0054,0.0076,0.0141,0.36550000000000005,0.029
Algeria,Algeria,0.1449,0.2841,0.1935,0.6225,0.2027,0.0777,0.0236,0.008,0.0156,0.0017,0.0063,0.0045,0.0111,0.37749999999999995,0.0236
Egypt,Egypt,0.1756,0.2465,0.2029,0.625,0.2486,0.0675,0.0143,0.0043,0.01,0.0011,0.0032,0.0027,0.0073,0.375,0.0143
Panama,Panama,0.0989,0.2097,0.2395,0.5481,0.1845,0.0657,0.0203,0.0043,0.016,0.001,0.0033,0.0056,0.0104,0.45189999999999997,0.0203
Czech Republic,Czech Republic,0.1997,0.2512,0.1838,0.6347,0.2615,0.0823,0.0239,0.0051,0.0188,0.0008,0.0043,0.0044,0.0144,0.36529999999999996,0.0239
