match_id,stage,stage_order,group,round_multiplier,date_utc,match_date,venue,stadium,city,host_country,home_team,away_team,home_slot,away_slot,home_slot_type,home_group_ref,home_match_ref,home_allowed_third_groups,away_slot_type,away_group_ref,away_match_ref,away_allowed_third_groups,is_group_stage,is_knockout,requires_slot_resolution,neutral_for_model,source_file,source_row_index
1,Group stage,1,A,,2026-06-11T19:00:00Z,2026-06-11,"Estadio Azteca, Mexico City",Estadio Azteca,Mexico City,Mexico,Mexico,South Africa,Mexico,South Africa,known_team,A,,,known_team,A,,,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,0
2,Group stage,1,A,,2026-06-12T02:00:00Z,2026-06-12,"Estadio Akron, Guadalajara",Estadio Akron,Guadalajara,Mexico,South Korea,Czech Republic,South Korea,Czech Republic,known_team,A,,,known_team,A,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,1
3,Group stage,1,B,,2026-06-12T19:00:00Z,2026-06-12,"BMO Field, Toronto",BMO Field,Toronto,Canada,Canada,Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,known_team,B,,,known_team,B,,,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,2
4,Group stage,1,D,,2026-06-13T01:00:00Z,2026-06-13,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,USA,Paraguay,USA,Paraguay,known_team,D,,,known_team,D,,,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,3
5,Group stage,1,D,,2026-06-13T04:00:00Z,2026-06-13,"BC Place, Vancouver",BC Place,Vancouver,Canada,Australia,Turkey,Australia,Turkey,known_team,D,,,known_team,D,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,4
6,Group stage,1,B,,2026-06-13T19:00:00Z,2026-06-13,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,USA,Qatar,Switzerland,Qatar,Switzerland,known_team,B,,,known_team,B,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,5
7,Group stage,1,C,,2026-06-13T22:00:00Z,2026-06-13,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,Brazil,Morocco,Brazil,Morocco,known_team,C,,,known_team,C,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,6
8,Group stage,1,C,,2026-06-14T01:00:00Z,2026-06-14,"Gillette Stadium, Boston",Gillette Stadium,Boston,USA,Haiti,Scotland,Haiti,Scotland,known_team,C,,,known_team,C,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,7
9,Group stage,1,E,,2026-06-14T17:00:00Z,2026-06-14,"NRG Stadium, Houston",NRG Stadium,Houston,USA,Germany,Curaçao,Germany,Curaçao,known_team,E,,,known_team,E,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,8
10,Group stage,1,F,,2026-06-14T20:00:00Z,2026-06-14,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,Netherlands,Japan,Netherlands,Japan,known_team,F,,,known_team,F,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,9
11,Group stage,1,E,,2026-06-14T23:00:00Z,2026-06-14,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,USA,Côte d'Ivoire,Ecuador,Côte d'Ivoire,Ecuador,known_team,E,,,known_team,E,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,10
12,Group stage,1,F,,2026-06-15T02:00:00Z,2026-06-15,"Estadio BBVA, Monterrey",Estadio BBVA,Monterrey,Mexico,Sweden,Tunisia,Sweden,Tunisia,known_team,F,,,known_team,F,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,11
13,Group stage,1,H,,2026-06-15T16:00:00Z,2026-06-15,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,Spain,Cabo Verde,Spain,Cabo Verde,known_team,H,,,known_team,H,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,12
14,Group stage,1,G,,2026-06-15T19:00:00Z,2026-06-15,"Lumen Field, Seattle",Lumen Field,Seattle,USA,Belgium,Egypt,Belgium,Egypt,known_team,G,,,known_team,G,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,13
15,Group stage,1,H,,2026-06-15T22:00:00Z,2026-06-15,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,USA,Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,known_team,H,,,known_team,H,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,14
16,Group stage,1,G,,2026-06-16T01:00:00Z,2026-06-16,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,Iran,New Zealand,Iran,New Zealand,known_team,G,,,known_team,G,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,15
17,Group stage,1,J,,2026-06-16T04:00:00Z,2026-06-16,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,USA,Austria,Jordan,Austria,Jordan,known_team,J,,,known_team,J,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,16
18,Group stage,1,I,,2026-06-16T19:00:00Z,2026-06-16,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,France,Senegal,France,Senegal,known_team,I,,,known_team,I,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,17
19,Group stage,1,I,,2026-06-16T22:00:00Z,2026-06-16,"Gillette Stadium, Boston",Gillette Stadium,Boston,USA,Iraq,Norway,Iraq,Norway,known_team,I,,,known_team,I,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,18
20,Group stage,1,J,,2026-06-17T01:00:00Z,2026-06-17,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,USA,Argentina,Algeria,Argentina,Algeria,known_team,J,,,known_team,J,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,19
21,Group stage,1,K,,2026-06-17T17:00:00Z,2026-06-17,"NRG Stadium, Houston",NRG Stadium,Houston,USA,Portugal,DR Congo,Portugal,DR Congo,known_team,K,,,known_team,K,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,20
22,Group stage,1,L,,2026-06-17T20:00:00Z,2026-06-17,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,England,Croatia,England,Croatia,known_team,L,,,known_team,L,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,21
23,Group stage,1,L,,2026-06-17T23:00:00Z,2026-06-17,"BMO Field, Toronto",BMO Field,Toronto,Canada,Ghana,Panama,Ghana,Panama,known_team,L,,,known_team,L,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,22
24,Group stage,1,K,,2026-06-18T02:00:00Z,2026-06-18,"Estadio Azteca, Mexico City",Estadio Azteca,Mexico City,Mexico,Uzbekistan,Colombia,Uzbekistan,Colombia,known_team,K,,,known_team,K,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,23
25,Group stage,1,A,,2026-06-18T16:00:00Z,2026-06-18,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,Czech Republic,South Africa,Czech Republic,South Africa,known_team,A,,,known_team,A,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,24
26,Group stage,1,B,,2026-06-18T19:00:00Z,2026-06-18,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,Switzerland,Bosnia and Herzegovina,Switzerland,Bosnia and Herzegovina,known_team,B,,,known_team,B,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,25
27,Group stage,1,B,,2026-06-18T22:00:00Z,2026-06-18,"BC Place, Vancouver",BC Place,Vancouver,Canada,Canada,Qatar,Canada,Qatar,known_team,B,,,known_team,B,,,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,26
28,Group stage,1,A,,2026-06-19T01:00:00Z,2026-06-19,"Estadio Akron, Guadalajara",Estadio Akron,Guadalajara,Mexico,Mexico,South Korea,Mexico,South Korea,known_team,A,,,known_team,A,,,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,27
29,Group stage,1,D,,2026-06-19T04:00:00Z,2026-06-19,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,USA,Turkey,Paraguay,Turkey,Paraguay,known_team,D,,,known_team,D,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,28
30,Group stage,1,D,,2026-06-19T19:00:00Z,2026-06-19,"Lumen Field, Seattle",Lumen Field,Seattle,USA,USA,Australia,USA,Australia,known_team,D,,,known_team,D,,,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,29
31,Group stage,1,C,,2026-06-19T22:00:00Z,2026-06-19,"Gillette Stadium, Boston",Gillette Stadium,Boston,USA,Scotland,Morocco,Scotland,Morocco,known_team,C,,,known_team,C,,,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,30
