match_id,stage,stage_order,group,date_utc,match_date,venue,stadium,city,host_country,home_team,away_team,home_slot,away_slot,is_group_stage,is_knockout,requires_slot_resolution,neutral_for_model,source_file,source_row_index
1,Group stage,1,A,2026-06-11T19:00:00Z,2026-06-11,"Estadio Azteca, Mexico City",Estadio Azteca,Mexico City,Mexico,Mexico,South Africa,Mexico,South Africa,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,0
2,Group stage,1,A,2026-06-12T02:00:00Z,2026-06-12,"Estadio Akron, Guadalajara",Estadio Akron,Guadalajara,Mexico,South Korea,Czech Republic,South Korea,Czech Republic,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,1
3,Group stage,1,B,2026-06-12T19:00:00Z,2026-06-12,"BMO Field, Toronto",BMO Field,Toronto,Canada,Canada,Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,2
4,Group stage,1,D,2026-06-13T01:00:00Z,2026-06-13,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,USA,Paraguay,USA,Paraguay,True,False,False,False,datalab_export_2026-06-03 16_17_15.xlsx,3
5,Group stage,1,D,2026-06-13T04:00:00Z,2026-06-13,"BC Place, Vancouver",BC Place,Vancouver,Canada,Australia,Turkey,Australia,Turkey,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,4
6,Group stage,1,B,2026-06-13T19:00:00Z,2026-06-13,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,USA,Qatar,Switzerland,Qatar,Switzerland,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,5
7,Group stage,1,C,2026-06-13T22:00:00Z,2026-06-13,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,Brazil,Morocco,Brazil,Morocco,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,6
8,Group stage,1,C,2026-06-14T01:00:00Z,2026-06-14,"Gillette Stadium, Boston",Gillette Stadium,Boston,USA,Haiti,Scotland,Haiti,Scotland,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,7
9,Group stage,1,E,2026-06-14T17:00:00Z,2026-06-14,"NRG Stadium, Houston",NRG Stadium,Houston,USA,Germany,Curaçao,Germany,Curaçao,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,8
10,Group stage,1,F,2026-06-14T20:00:00Z,2026-06-14,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,Netherlands,Japan,Netherlands,Japan,True,False,False,True,datalab_export_2026-06-03 16_17_15.xlsx,9
