match_id,stage,stage_order,round_multiplier,date_utc,match_date,venue,stadium,city,host_country,slot_home,slot_away,home_slot_type,home_group_ref,home_match_ref,home_allowed_third_groups,away_slot_type,away_group_ref,away_match_ref,away_allowed_third_groups,predicted_home_team,predicted_away_team,is_knockout,requires_slot_resolution,source_file,source_row_index
73,Round of 32,2,1,2026-06-28T19:00:00Z,2026-06-28,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,Runner-up Group A,Runner-up Group B,runner_up_group,A,,,runner_up_group,B,,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,0
74,Round of 32,2,1,2026-06-29T17:00:00Z,2026-06-29,"NRG Stadium, Houston",NRG Stadium,Houston,USA,Winner Group C,Runner-up Group F,winner_group,C,,,runner_up_group,F,,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,1
75,Round of 32,2,1,2026-06-29T20:30:00Z,2026-06-29,"Gillette Stadium, Boston",Gillette Stadium,Boston,USA,Winner Group E,Best 3rd (Groups A/B/C/D/F),winner_group,E,,,best_third,,,"A,B,C,D,F",,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,2
76,Round of 32,2,1,2026-06-30T01:00:00Z,2026-06-30,"Estadio BBVA, Monterrey",Estadio BBVA,Monterrey,Mexico,Winner Group F,Runner-up Group C,winner_group,F,,,runner_up_group,C,,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,3
77,Round of 32,2,1,2026-06-30T17:00:00Z,2026-06-30,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,Runner-up Group E,Runner-up Group I,runner_up_group,E,,,runner_up_group,I,,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,4
78,Round of 32,2,1,2026-06-30T21:00:00Z,2026-06-30,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,USA,Winner Group I,Best 3rd (Groups C/D/F/G/H),winner_group,I,,,best_third,,,"C,D,F,G,H",,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,5
79,Round of 32,2,1,2026-07-01T01:00:00Z,2026-07-01,"Estadio Azteca, Mexico City",Estadio Azteca,Mexico City,Mexico,Winner Group A,Best 3rd (Groups C/E/F/H/I),winner_group,A,,,best_third,,,"C,E,F,H,I",,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,6
80,Round of 32,2,1,2026-07-01T16:00:00Z,2026-07-01,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,USA,Winner Group L,Best 3rd (Groups E/H/I/J/K),winner_group,L,,,best_third,,,"E,H,I,J,K",,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,7
81,Round of 32,2,1,2026-07-01T20:00:00Z,2026-07-01,"Lumen Field, Seattle",Lumen Field,Seattle,USA,Winner Group G,Best 3rd (Groups A/E/H/I/J),winner_group,G,,,best_third,,,"A,E,H,I,J",,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,8
82,Round of 32,2,1,2026-07-02T00:00:00Z,2026-07-02,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,USA,Winner Group D,Best 3rd (Groups B/E/F/I/J),winner_group,D,,,best_third,,,"B,E,F,I,J",,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,9
83,Round of 32,2,1,2026-07-02T19:00:00Z,2026-07-02,"BMO Field, Toronto",BMO Field,Toronto,Canada,Runner-up Group K,Runner-up Group L,runner_up_group,K,,,runner_up_group,L,,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,10
84,Round of 32,2,1,2026-07-02T23:00:00Z,2026-07-02,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,USA,Winner Group H,Runner-up Group J,winner_group,H,,,runner_up_group,J,,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,11
85,Round of 32,2,1,2026-07-03T03:00:00Z,2026-07-03,"BC Place, Vancouver",BC Place,Vancouver,Canada,Winner Group B,Best 3rd (Groups E/F/G/I/J),winner_group,B,,,best_third,,,"E,F,G,I,J",,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,12
86,Round of 32,2,1,2026-07-03T18:00:00Z,2026-07-03,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,USA,Runner-up Group D,Runner-up Group G,runner_up_group,D,,,runner_up_group,G,,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,13
87,Round of 32,2,1,2026-07-03T22:00:00Z,2026-07-03,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,USA,Winner Group J,Runner-up Group H,winner_group,J,,,runner_up_group,H,,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,14
88,Round of 32,2,1,2026-07-04T01:30:00Z,2026-07-04,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,USA,Winner Group K,Best 3rd (Groups D/E/I/J/L),winner_group,K,,,best_third,,,"D,E,I,J,L",,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,15
89,Round of 16,3,2,2026-07-04T17:00:00Z,2026-07-04,"NRG Stadium, Houston",NRG Stadium,Houston,USA,Winner Match 73,Winner Match 75,winner_match,,73,,winner_match,,75,,,,True,True,datalab_export_2026-06-03 16_17_37.xlsx,16
