model,class,feature,importance,abs_importance
logistic_regression,A,cat__away_confederation_NON_FIFA,0.8558711473584687,0.8558711473584687
logistic_regression,H,cat__away_confederation_NON_FIFA,-0.7733355904700779,0.7733355904700779
logistic_regression,H,cat__home_confederation_NON_FIFA,0.6509757173886798,0.6509757173886798
logistic_regression,A,cat__confederation_pair_NON_FIFA_vs_NON_FIFA,0.5405399046270921,0.5405399046270921
logistic_regression,H,cat__confederation_pair_CONMEBOL_vs_UEFA,0.5172843064070445,0.5172843064070445
logistic_regression,A,num__elo_diff,-0.5025750334309388,0.5025750334309388
logistic_regression,A,num__elo_diff_pre,-0.5025750334309388,0.5025750334309388
logistic_regression,H,num__elo_diff,0.4756598557152543,0.4756598557152543
logistic_regression,H,num__elo_diff_pre,0.4756598557152543,0.4756598557152543
logistic_regression,H,cat__away_confederation_OFC,0.47276949271080665,0.47276949271080665
logistic_regression,H,cat__confederation_pair_AFC_vs_OFC,-0.43648364124382655,0.43648364124382655
logistic_regression,H,num__confed_inter_goal_diff_per_match_diff_prior_filled,0.4202306477323659,0.4202306477323659
logistic_regression,D,cat__confederation_pair_CONMEBOL_vs_CONCACAF,-0.3852161572763101,0.3852161572763101
logistic_regression,A,cat__home_confederation_NON_FIFA,-0.3736134182208805,0.3736134182208805
logistic_regression,D,cat__confederation_pair_NON_FIFA_vs_NON_FIFA,-0.35114771121632576,0.35114771121632576
logistic_regression,H,cat__away_confederation_UEFA,0.3505453718467053,0.3505453718467053
logistic_regression,D,num__weighted_goal_diff_delta_last10,-0.33865031675625756,0.33865031675625756
logistic_regression,H,num__confed_goal_diff_per_match_diff_prior_filled,-0.32309190974113916,0.32309190974113916
logistic_regression,D,cat__host_confederation_OFC,0.3224902587625738,0.3224902587625738
logistic_regression,H,cat__host_confederation_CONCACAF,0.32099383739416143,0.32099383739416143
logistic_regression,A,cat__confederation_pair_UEFA_vs_CAF,0.31847932720647465,0.31847932720647465
logistic_regression,D,cat__away_confederation_CAF,0.3061857875555589,0.3061857875555589
logistic_regression,H,cat__confederation_pair_UEFA_vs_CONCACAF,-0.298059242827215,0.298059242827215
logistic_regression,H,cat__confederation_pair_CONCACAF_vs_UEFA,-0.29480469997297876,0.29480469997297876
logistic_regression,A,cat__home_confederation_OFC,0.29205863121467796,0.29205863121467796
logistic_regression,A,cat__away_confederation_CAF,-0.2876248452845874,0.2876248452845874
logistic_regression,D,cat__confederation_pair_AFC_vs_OFC,0.28678654129092807,0.28678654129092807
logistic_regression,D,cat__home_confederation_CAF,-0.2849130625138407,0.2849130625138407
logistic_regression,D,cat__confederation_pair_CONCACAF_vs_UEFA,0.27922695724505053,0.27922695724505053
logistic_regression,D,cat__confederation_pair_CONMEBOL_vs_UEFA,-0.27738404351835516,0.27738404351835516
