split,metric,baseline,exp_h2h_model,change,direction,improved
validation,accuracy,0.5211558307533539,0.478844169246646,-0.0423116615067079,higher_better,False
validation,balanced_accuracy,0.503136309714705,0.46851587345316653,-0.03462043626153849,higher_better,False
validation,macro_f1,0.4960789046755624,0.46554049046827134,-0.030538414207291087,higher_better,False
validation,weighted_f1,0.533690908642587,0.502455921520469,-0.03123498712211792,higher_better,False
validation,log_loss,0.9776246133013156,1.0120563131904714,0.03443169988915584,lower_better,False
validation,multiclass_brier,0.5787885083121042,0.600268251254894,0.02147974294278987,lower_better,False
validation,ranked_probability_score,0.1300655847840481,0.13314531670407304,0.0030797319200249473,lower_better,False
test,accuracy,0.5711830421082784,0.5485534230879404,-0.022629619020338,higher_better,False
test,balanced_accuracy,0.5305434995010084,0.5272735956702888,-0.003269903830719678,higher_better,False
test,macro_f1,0.5268770030540572,0.5270339849464943,0.0001569818924371802,higher_better,True
test,weighted_f1,0.5719523454041484,0.5640004891134139,-0.007951856290734471,higher_better,False
test,log_loss,0.8844133689915499,0.920205022586997,0.035791653595447115,lower_better,False
test,multiclass_brier,0.52129785167228,0.5455640509493798,0.02426619927709972,lower_better,False
test,ranked_probability_score,0.113899337999191,0.11808290546337183,0.004183567464180832,lower_better,False
