model,class,feature,importance,abs_importance
logistic_regression_exp_h2h,A,cat__away_confederation_NON_FIFA,0.7041826251335204,0.7041826251335204
logistic_regression_exp_h2h,H,cat__away_confederation_NON_FIFA,-0.6683564303055158,0.6683564303055158
logistic_regression_exp_h2h,A,num__h2h_home_team_points_per_match_last5_filled,0.5598618554646636,0.5598618554646636
logistic_regression_exp_h2h,H,cat__home_confederation_NON_FIFA,0.5515926539946052,0.5515926539946052
logistic_regression_exp_h2h,A,cat__confederation_pair_NON_FIFA_vs_NON_FIFA,0.4638470322915027,0.4638470322915027
logistic_regression_exp_h2h,H,cat__confederation_pair_CONMEBOL_vs_UEFA,0.46053077033312306,0.46053077033312306
logistic_regression_exp_h2h,H,num__exp_points_per_match_prior_diff_filled,-0.43431343046369714,0.43431343046369714
logistic_regression_exp_h2h,H,num__confed_inter_goal_diff_per_match_diff_prior_filled,0.4125286608489386,0.4125286608489386
logistic_regression_exp_h2h,A,num__elo_diff,-0.41241094995800226,0.41241094995800226
logistic_regression_exp_h2h,A,num__elo_diff_pre,-0.41241094995800226,0.41241094995800226
logistic_regression_exp_h2h,H,num__h2h_home_team_points_per_match_last5_filled,-0.3974446519930843,0.3974446519930843
logistic_regression_exp_h2h,H,cat__away_confederation_OFC,0.39135547775093205,0.39135547775093205
logistic_regression_exp_h2h,H,cat__confederation_pair_AFC_vs_OFC,-0.38006025373483593,0.38006025373483593
logistic_regression_exp_h2h,H,num__away_exp_points_per_match_prior_filled,-0.37615144192676775,0.37615144192676775
logistic_regression_exp_h2h,H,num__elo_diff,0.3545791526804196,0.3545791526804196
logistic_regression_exp_h2h,H,num__elo_diff_pre,0.3545791526804196,0.3545791526804196
logistic_regression_exp_h2h,H,num__confed_goal_diff_per_match_diff_prior_filled,-0.353240351450547,0.353240351450547
logistic_regression_exp_h2h,A,num__h2h_home_team_win_rate_last5_filled,-0.3483162535378723,0.3483162535378723
logistic_regression_exp_h2h,D,num__weighted_goal_diff_delta_last10,-0.3470061310501612,0.3470061310501612
logistic_regression_exp_h2h,A,num__exp_points_per_match_prior_diff_filled,0.32178504086567633,0.32178504086567633
logistic_regression_exp_h2h,H,cat__away_confederation_UEFA,0.320781620844363,0.320781620844363
logistic_regression_exp_h2h,H,num__h2h_home_team_win_rate_last5_filled,0.31831042409040106,0.31831042409040106
logistic_regression_exp_h2h,D,cat__confederation_pair_CONMEBOL_vs_CONCACAF,-0.31829754403912547,0.31829754403912547
logistic_regression_exp_h2h,H,cat__host_confederation_CONCACAF,0.3178759591970288,0.3178759591970288
logistic_regression_exp_h2h,H,cat__host_confederation_CONMEBOL,0.2924477279368907,0.2924477279368907
logistic_regression_exp_h2h,D,cat__home_confederation_CAF,-0.2906005843779177,0.2906005843779177
logistic_regression_exp_h2h,H,cat__confederation_pair_UEFA_vs_AFC,0.28946578546371604,0.28946578546371604
logistic_regression_exp_h2h,A,num__exp_avg_tournament_importance_prior_diff_filled,0.2892181334223522,0.2892181334223522
logistic_regression_exp_h2h,D,cat__confederation_pair_NON_FIFA_vs_NON_FIFA,-0.2890572690844609,0.2890572690844609
logistic_regression_exp_h2h,A,cat__home_confederation_NON_FIFA,-0.28566326569182704,0.28566326569182704
logistic_regression_exp_h2h,H,cat__confederation_pair_CONCACAF_vs_UEFA,-0.28357611207122735,0.28357611207122735
logistic_regression_exp_h2h,A,cat__away_confederation_AFC,-0.2819560847180153,0.2819560847180153
logistic_regression_exp_h2h,H,cat__confederation_pair_infrequent_sklearn,0.2808668563769465,0.2808668563769465
logistic_regression_exp_h2h,H,num__exp_goal_diff_per_match_prior_diff_filled,-0.27336725006940515,0.27336725006940515
logistic_regression_exp_h2h,D,cat__host_confederation_OFC,0.2679936865294309,0.2679936865294309
logistic_regression_exp_h2h,A,num__avg_goal_diff_delta_last10,-0.2660545071707431,0.2660545071707431
logistic_regression_exp_h2h,D,cat__home_confederation_NON_FIFA,-0.2659293883027767,0.2659293883027767
logistic_regression_exp_h2h,H,cat__home_confederation_CONMEBOL,-0.26543214639519164,0.26543214639519164
logistic_regression_exp_h2h,D,cat__away_confederation_CAF,0.26519615933769985,0.26519615933769985
logistic_regression_exp_h2h,H,num__home_exp_points_per_match_prior_filled,0.26472228485474303,0.26472228485474303
logistic_regression_exp_h2h,A,cat__confederation_pair_CONMEBOL_vs_UEFA,-0.2628181360510766,0.2628181360510766
logistic_regression_exp_h2h,A,cat__confederation_pair_AFC_vs_CAF,0.2597916691965095,0.2597916691965095
logistic_regression_exp_h2h,D,cat__host_confederation_CONCACAF,-0.2594630666284949,0.2594630666284949
logistic_regression_exp_h2h,H,cat__away_confederation_CONMEBOL,-0.2564939806857936,0.2564939806857936
logistic_regression_exp_h2h,H,cat__home_confederation_CAF,0.254387704246102,0.254387704246102
