model,split,rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,multiclass_brier,ranked_probability_score
dummy_most_frequent,train,7279,0.47616430828410494,0.3333333333333333,0.21504575771676748,0.30719134341790744,18.092643823848665,1.0476713834317901,0.2717406237120484
dummy_most_frequent,validation,969,0.49742002063983487,0.3333333333333333,0.22145646680450262,0.33047064086616185,17.35849752767957,1.0051599587203301,0.2593739250085999
dummy_most_frequent,test,3491,0.4717845889429963,0.3333333333333333,0.2137018295056442,0.3024636893690599,18.243913970843685,1.0564308221140075,0.27575670772462524
logistic_l2_curated,train,7279,0.5702706415716444,0.5469079549695168,0.5435517068008364,0.5784495865115976,0.8987250726756105,0.5300679981898662,0.11701165638378168
logistic_l2_curated,validation,969,0.4953560371517028,0.48139222426135575,0.4754988919857331,0.5114047828146591,0.998706569154649,0.5906982332940987,0.1326361111159588
logistic_l2_curated,test,3491,0.5688914351188771,0.5333459913182449,0.5308251729119804,0.573504946352342,0.8974505579872152,0.5291250805401052,0.11592921115765138
logistic_kbest_35,train,7279,0.56820991894491,0.5376028138169283,0.5342467812463623,0.5721287085110577,0.911525338415859,0.5367754750319266,0.11865824422993579
logistic_kbest_35,validation,969,0.5046439628482973,0.4730349558336877,0.47001503795841987,0.5147926510176271,0.9923789531891274,0.5859242298986614,0.13173574102042324
logistic_kbest_35,test,3491,0.5754798052134059,0.5319429614276043,0.5283524924925022,0.5752411833317789,0.8959049688673509,0.527228259736943,0.11538134274752475
random_forest_shallow,train,7279,0.6129962906992719,0.5919928481745093,0.5874216735471354,0.618411327903897,0.8645017458302119,0.5076575804182408,0.11327809485819466
random_forest_shallow,validation,969,0.5211558307533539,0.49342614922595346,0.4917441150862388,0.5349683422437475,0.9599980290679456,0.5701926508150559,0.12839882324460664
random_forest_shallow,test,3491,0.5766256087081065,0.5356741620082491,0.5341900093187495,0.5792342653164992,0.8883970276909916,0.524448838851621,0.11506509835136342
