feature,f_score,p_value
elo_prob_home_win_proxy,1492.3941574051778,0.0
elo_diff,1320.694099103854,0.0
elo_diff_pre,1320.694099103854,0.0
fifa_rank_diff_filled,737.8320558519778,1.737221782571774e-292
fifa_points_diff_filled,710.1367543841383,1.868361721561187e-282
exp_points_per_match_prior_diff_filled,705.2813991405369,1.0882177576802042e-280
exp_goal_diff_per_match_prior_diff_filled,588.5221376845406,1.2353520905464972e-237
weighted_goal_diff_delta_last10,581.9012543183222,3.704738224701034e-235
avg_goal_diff_delta_last10,577.3163495341802,1.9333665239205519e-233
h2h_goal_diff_per_match_prior_filled,568.5996381647249,3.604541848648595e-230
h2h_goal_diff_per_match_last5_filled,554.3999964436734,7.927520400267136e-225
exp_total_matches_prior_diff,489.27985933320565,4.296839232534921e-200
avg_goal_diff_delta_last5,478.0887677501633,8.375826182273943e-196
form_points_per_match_diff_last10,468.40130232095026,4.425377108796157e-192
weighted_goal_diff_delta_last5,467.65050883645233,8.606947181324486e-192
h2h_home_team_points_per_match_prior_filled,446.1916447035315,1.6384985210573803e-183
weighted_form_points_diff_last10,442.2868400400354,5.317853498072592e-182
exp_major_matches_prior_diff,442.21498782155624,5.6696876748160846e-182
exp_high_importance_matches_prior_diff,442.21498782155624,5.6696876748160846e-182
h2h_home_team_points_per_match_last5_filled,423.945630692237,6.97919894444888e-175
h2h_home_team_win_rate_last5_filled,411.5360112917581,4.765714375116542e-170
exp_world_cup_matches_prior_diff,394.1047867274361,3.1171548736781816e-163
win_rate_diff_last10,370.07190789104135,8.691966142014492e-154
form_points_per_match_diff_last5,335.6120428660291,3.817405203795589e-140
h2h_goals_against_per_match_prior_filled,311.8314684135035,1.163220473323172e-130
h2h_goals_for_per_match_prior_filled,305.93480958844543,2.667680751312103e-128
weighted_form_points_diff_last5,305.6672011478513,3.414624853924942e-128
exp_qualifier_matches_prior_diff,291.9682628836611,1.0743464655854318e-122
exp_continental_matches_prior_diff,288.3967521377406,2.9352832316869784e-121
win_rate_diff_last5,253.7237654642199,3.032940435075084e-107
exp_years_since_first_match_diff_filled,248.24150440913536,5.118270170984784e-105
exp_same_family_matches_prior_diff,199.5387590680962,4.3101107457095626e-85
exp_same_tournament_matches_prior_diff,184.6950006332499,5.724030037925225e-79
exp_major_points_per_match_prior_diff_filled,165.7025241711564,4.237147381306656e-71
exp_major_goal_diff_per_match_prior_diff_filled,154.44870708744065,2.0349692226056397e-66
exp_major_recency_advantage_filled,108.28670876466623,4.549918169130138e-47
neutral,42.1840705541018,6.096668801870088e-19
confed_inter_goal_diff_per_match_diff_prior_filled,36.67611086568336,1.417494082298095e-16
confed_goal_diff_per_match_diff_prior_filled,35.24875952141297,5.825648781464198e-16
confed_avg_elo_diff_prior_filled,33.67073083385492,2.781267875311214e-15
both_teams_have_major_tournament_history,29.92732478893455,1.137355962768504e-13
exp_avg_tournament_importance_prior_diff_filled,24.25480913083927,3.171242886163975e-11
h2h_matches_prior,19.990646276903238,2.1975498467479337e-09
is_friendly,18.501948608181113,9.66205574478241e-09
h2h_matches_last5,15.772534270248576,1.4617783715985096e-07
is_qualifier,12.439797071151359,4.042783671974253e-06
h2h_same_tournament_matches_prior,11.922468309348625,6.770235358411317e-06
exp_nations_league_matches_prior_diff,11.707809700079526,8.385462654589392e-06
tournament_importance,10.817927224468416,2.0361290417886703e-05
has_h2h_last5,8.287217514051823,0.0002540974126485568
has_h2h_history,8.287217514051823,0.0002540974126485568
home_confed_matches_host_confed,8.133407368953732,0.0002962434293348068
h2h_same_family_matches_prior,7.610498613800672,0.0004991772458868999
is_continental,6.768531627717871,0.0011566319718261013
away_days_since_last_match_last5,5.924694010536629,0.002685536148588254
confed_inter_points_per_match_diff_prior_filled,4.718320141801927,0.008957509379072583
away_confed_matches_host_confed,3.8670573010729257,0.020962849317272245
h2h_days_since_last_meeting_filled,3.5436410148608233,0.028957782947802928
is_world_cup,2.207710488116872,0.1100257458468842
confed_points_per_match_diff_prior_filled,2.0317934669884123,0.13117456205205222
home_days_since_last_match_last5,0.3371210014024427,0.7138336104091049
same_confederation,0.2702405708779204,0.7632035294851449
