split,model,bin,confidence_lower,confidence_upper,count,accuracy,avg_confidence,abs_gap,ece_10bin
validation,v2_uncalibrated,1,0.0,0.1,0,,,,0.058647159643647466
validation,v2_uncalibrated,2,0.1,0.2,0,,,,0.058647159643647466
validation,v2_uncalibrated,3,0.2,0.30000000000000004,0,,,,0.058647159643647466
validation,v2_uncalibrated,4,0.30000000000000004,0.4,148,0.31756756756756754,0.38561474495856535,0.0680471773909978,0.058647159643647466
validation,v2_uncalibrated,5,0.4,0.5,429,0.40792540792540793,0.4387002444527494,0.030774836527341476,0.058647159643647466
validation,v2_uncalibrated,6,0.5,0.6000000000000001,180,0.6277777777777778,0.5476350106659289,0.08014276711184887,0.058647159643647466
validation,v2_uncalibrated,7,0.6000000000000001,0.7000000000000001,113,0.7699115044247787,0.6490759981125044,0.12083550631227435,0.058647159643647466
validation,v2_uncalibrated,8,0.7000000000000001,0.8,65,0.8153846153846154,0.7472811196192861,0.06810349576532926,0.058647159643647466
validation,v2_uncalibrated,9,0.8,0.9,31,0.8709677419354839,0.8454937068077716,0.02547403512771229,0.058647159643647466
validation,v2_uncalibrated,10,0.9,1.0,3,1.0,0.9136073455093529,0.08639265449064715,0.058647159643647466
validation,v3_calibrated,1,0.0,0.1,0,,,,0.056162523168130606
validation,v3_calibrated,2,0.1,0.2,0,,,,0.056162523168130606
validation,v3_calibrated,3,0.2,0.30000000000000004,0,,,,0.056162523168130606
validation,v3_calibrated,4,0.30000000000000004,0.4,119,0.2857142857142857,0.3860127522524,0.1002984665381143,0.056162523168130606
validation,v3_calibrated,5,0.4,0.5,435,0.4045977011494253,0.4398834838179703,0.03528578266854504,0.056162523168130606
validation,v3_calibrated,6,0.5,0.6000000000000001,180,0.6,0.5485747124546398,0.05142528754536013,0.056162523168130606
validation,v3_calibrated,7,0.6000000000000001,0.7000000000000001,114,0.7807017543859649,0.6482462996628585,0.13245545472310638,0.056162523168130606
validation,v3_calibrated,8,0.7000000000000001,0.8,74,0.7567567567567568,0.743818657841069,0.012938098915687757,0.056162523168130606
validation,v3_calibrated,9,0.8,0.9,40,0.875,0.8442877852122976,0.030712214787702363,0.056162523168130606
validation,v3_calibrated,10,0.9,1.0,7,1.0,0.9151042195431544,0.08489578045684565,0.056162523168130606
test,v2_uncalibrated,1,0.0,0.1,0,,,,0.05378133454718792
test,v2_uncalibrated,2,0.1,0.2,0,,,,0.05378133454718792
test,v2_uncalibrated,3,0.2,0.30000000000000004,0,,,,0.05378133454718792
test,v2_uncalibrated,4,0.30000000000000004,0.4,372,0.34946236559139787,0.38538422948564754,0.03592186389424967,0.05378133454718792
test,v2_uncalibrated,5,0.4,0.5,1407,0.4200426439232409,0.4379242374019755,0.01788159347873458,0.05378133454718792
test,v2_uncalibrated,6,0.5,0.6000000000000001,610,0.6459016393442623,0.5483507500625389,0.0975508892817234,0.05378133454718792
test,v2_uncalibrated,7,0.6000000000000001,0.7000000000000001,464,0.7219827586206896,0.6469820691534054,0.07500068946728422,0.05378133454718792
test,v2_uncalibrated,8,0.7000000000000001,0.8,372,0.8521505376344086,0.7472865682221079,0.1048639694123007,0.05378133454718792
test,v2_uncalibrated,9,0.8,0.9,206,0.9174757281553398,0.8460788770954482,0.07139685105989169,0.05378133454718792
test,v2_uncalibrated,10,0.9,1.0,60,0.95,0.9299201133898687,0.02007988661013127,0.05378133454718792
test,v3_calibrated,1,0.0,0.1,0,,,,0.053497349596370605
test,v3_calibrated,2,0.1,0.2,0,,,,0.053497349596370605
test,v3_calibrated,3,0.2,0.30000000000000004,0,,,,0.053497349596370605
test,v3_calibrated,4,0.30000000000000004,0.4,304,0.3355263157894737,0.38594036152952127,0.0504140457400476,0.053497349596370605
test,v3_calibrated,5,0.4,0.5,1398,0.4084406294706724,0.4396094548503264,0.031168825379653986,0.053497349596370605
test,v3_calibrated,6,0.5,0.6000000000000001,598,0.6438127090301003,0.5482142231494438,0.09559848588065656,0.053497349596370605
test,v3_calibrated,7,0.6000000000000001,0.7000000000000001,462,0.7077922077922078,0.6464144417165489,0.06137776607565881,0.053497349596370605
test,v3_calibrated,8,0.7000000000000001,0.8,388,0.8041237113402062,0.7470094853504339,0.05711422598977234,0.053497349596370605
test,v3_calibrated,9,0.8,0.9,255,0.9176470588235294,0.8455677321646827,0.07207932665884664,0.053497349596370605
test,v3_calibrated,10,0.9,1.0,86,0.9534883720930233,0.9326233815165754,0.02086499057644786,0.053497349596370605
