v3_weight,baseline_weight,validation_log_loss,validation_brier
0.0,1.0,0.9776246133013157,0.5787885083121042
0.001,0.999,0.9775715994988522,0.5787632424215321
0.002,0.998,0.9775186948103765,0.578738008390258
0.003,0.997,0.9774658989165999,0.5787128062182817
0.004,0.996,0.9774132115007024,0.5786876359056031
0.005,0.995,0.9773606322483044,0.5786624974522223
0.006,0.994,0.9773081608474368,0.5786373908581393
0.007,0.993,0.9772557969885141,0.578612316123354
0.008,0.992,0.9772035403643069,0.5785872732478665
0.009,0.991,0.9771513906699136,0.578562262231677
0.01,0.99,0.9770993476027348,0.578537283074785
0.011,0.989,0.9770474108624465,0.5785123357771909
0.012,0.988,0.976995580150974,0.5784874203388947
0.013,0.987,0.9769438551724672,0.578462536759896
0.014,0.986,0.9768922356332743,0.5784376850401953
0.015,0.985,0.976840721241918,0.5784128651797924
0.016,0.984,0.976789311709071,0.5783880771786871
0.017,0.983,0.9767380067475315,0.5783633210368798
0.018,0.982,0.9766868060722003,0.57833859675437
0.019,0.981,0.9766357094000568,0.5783139043311584
0.02,0.98,0.9765847164501373,0.5782892437672443
0.021,0.979,0.9765338269435107,0.578264615062628
0.022,0.978,0.9764830406032576,0.5782400182173096
0.023,0.977,0.9764323571544486,0.578215453231289
0.024,0.976,0.9763817763241213,0.578190920104566
0.025,0.975,0.9763312978412603,0.5781664188371408
0.026,0.974,0.976280921436776,0.5781419494290135
0.027,0.973,0.9762306468434838,0.578117511880184
0.028,0.972,0.9761804737960841,0.5780931061906521
0.029,0.971,0.9761304020311413,0.5780687323604181
0.03,0.97,0.9760804312870655,0.578044390389482
0.031,0.969,0.9760305613040923,0.5780200802778436
0.032,0.968,0.9759807918242632,0.5779958020255029
0.033,0.967,0.9759311225914077,0.57797155563246
0.034,0.966,0.9758815533511236,0.577947341098715
0.035,0.965,0.9758320838507598,0.5779231584242677
0.036,0.964,0.9757827138393972,0.5778990076091182
0.037,0.963,0.9757334430678315,0.5778748886532664
0.038,0.962,0.975684271288555,0.5778508015567124
0.039,0.961,0.9756351982557399,0.5778267463194564
0.04,0.96,0.9755862237252209,0.577802722941498
0.041,0.959,0.9755373474544783,0.5777787314228375
0.042,0.958,0.9754885692026213,0.5777547717634747
0.043,0.957,0.975439888730372,0.5777308439634097
0.044,0.956,0.9753913058000486,0.5777069480226423
0.045,0.955,0.9753428201755501,0.5776830839411728
0.046,0.954,0.9752944316223401,0.5776592517190012
0.047,0.953,0.9752461399074313,0.5776354513561273
