model,split,bin,lower,upper,count,avg_confidence,accuracy,gap
model_v4_probability_ensemble,test,1,0.0,0.1,0,,,
model_v4_probability_ensemble,test,2,0.1,0.2,0,,,
model_v4_probability_ensemble,test,3,0.2,0.30000000000000004,0,,,
model_v4_probability_ensemble,test,4,0.30000000000000004,0.4,305,0.38465988512075444,0.3377049180327869,0.046954967087967536
model_v4_probability_ensemble,test,5,0.4,0.5,1371,0.4388485463417779,0.38949671772428884,0.049351828617489046
model_v4_probability_ensemble,test,6,0.5,0.6000000000000001,622,0.5492079768653803,0.6559485530546624,0.10674057618928212
model_v4_probability_ensemble,test,7,0.6000000000000001,0.7000000000000001,460,0.6470517630090061,0.6956521739130435,0.04860041090403733
model_v4_probability_ensemble,test,8,0.7000000000000001,0.8,398,0.745284322307487,0.821608040201005,0.076323717893518
model_v4_probability_ensemble,test,9,0.8,0.9,255,0.8446196601178668,0.9176470588235294,0.07302739870566255
model_v4_probability_ensemble,test,10,0.9,1.0,80,0.932108745882236,0.9625,0.030391254117764
